Loadings,Lower_CI,Upper_CI
0.874721202916496,0.665855211336698,0.956585276879054
0.66434847534802,0.226827811284916,0.897074389413089
0.707232273863076,0.373485540355062,0.871937060008712
0.604593100715595,0.328743962455434,0.804979605385016
-0.289530777946509,-0.570716078048554,-0.138760987448578
-0.752862889586507,-0.899522782724254,-0.399076320829817
-0.32591798015641,-0.695779003311043,0.144454117072662
-0.66207370439607,-0.852211109925564,-0.273991623803303
-0.832892843410945,-0.923582525120318,-0.735220756616634
-0.53886511462516,-0.781502575094772,-0.102312029721988
-0.270299990910542,-0.664803675628732,0.217482862668929
-0.885617934740919,-0.958076541736676,-0.751533234117038
-0.481009230984471,-0.782485471346641,-0.145706127507487
0.570791587529532,0.215243050466152,0.827006537965526
-0.443089921944098,-0.708346357447426,-0.0846289097677078
-0.248900661770245,-0.590710168038054,0.250078213378621
0.405474333139571,-0.463439473793815,0.862640166430131
0.664551501574101,0.0157231551760707,0.950402707453074
-0.134748907752271,-0.73367824041872,0.575037221569052
-0.153982790513329,-0.867881176534881,0.590846138205761
0.298061861316751,-0.526589030952688,0.957261610367118
-0.682495765571703,-0.968451576344755,0.432393799840287
0.0625494413917846,-0.59716420785335,0.692862538750416
NaN,NaN,NaN
